Comment,cleaned_comment,Sentiment
Harris Lisa Hall Helen Taylor Donald,"harris, lisa, hall, helen, taylor, donald",Neutral
Harris Deborah Taylor Karen Jackson Paul,"harris, deborah, taylor, karen, jackson, paul",Neutral
They should have just named it “The Douchemobile”.,"named, douchemobile",Neutral
Thompson Scott Johnson Brian Moore Daniel,"thompson, scott, johnson, brian, moore, daniel",Neutral
Brown Jason White Thomas Garcia Larry,"brown, jason, white, thomas, garcia, larry",Neutral
Walker James Jackson Brenda Taylor Joseph,"walker, james, jackson, brenda, taylor, joseph",Neutral
Harris Steven Harris Thomas Thompson Jose,"harris, steven, harris, thomas, thompson, jose",Neutral
Harris Laura Hall Brenda Allen Daniel,"harris, laura, hall, brenda, allen, daniel",Neutral
Harris Ronald Wilson Linda Martinez Kevin,"harris, ronald, wilson, linda, martinez, kevin",Neutral
Taylor Patricia Jones Margaret Allen Donald,"taylor, patricia, jones, margaret, allen, donald",Neutral
Thompson Melissa Miller Brian Johnson Susan,"thompson, melissa, miller, brian, johnson, susan",Neutral
Taylor Brian Martinez Donna Young Amy,"taylor, brian, martinez, donna, young, amy",Neutral
Jones Mark Jones Deborah Hernandez Christopher,"jones, mark, jones, deborah, hernandez, christopher",Neutral
Miller Barbara Perez Christopher Taylor Gary,"miller, barbara, perez, christopher, taylor, gary",Neutral
Rodriguez Gary Thomas Laura Johnson Larry,"rodriguez, gary, thomas, laura, johnson, larry",Neutral
Davis Daniel Lewis Helen Harris Kimberly,"davis, daniel, lewis, helen, harris, kimberly",Neutral
Walker Ruth Lee Mark Allen Deborah,"walker, ruth, lee, mark, allen, deborah",Neutral
Jackson Margaret Brown David Thompson Karen,"jackson, margaret, brown, david, thompson, karen",Neutral
Si algo inservible faltaba por construir en la industria automotriz...es esta cosa!!!,"si, algo, inservible, faltaba, por, construir, en, la, industria, automotrizes, esta, cosa",Neutral
Garcia Nancy White Sarah White Michael,"garcia, nancy, white, sarah, white, michael",Neutral
Moore Melissa Miller Christopher Harris Larry,"moore, melissa, miller, christopher, harris, larry",Neutral
Wilson Sandra Wilson Susan Lewis Shirley,"wilson, sandra, wilson, susan, lewis, shirley",Neutral
Gonzalez Jose Davis Jose Lopez David,"gonzalez, jose, davis, jose, lopez, david",Neutral
Allen Shirley Robinson Paul Harris Steven,"allen, shirley, robinson, paul, harris, steven",Neutral
Lewis Kimberly Lee Brenda Robinson Donna,"lewis, kimberly, lee, brenda, robinson, donna",Neutral
Robinson Sandra Gonzalez Angela Young Charles,"robinson, sandra, gonzalez, angela, young, charles",Neutral
Robinson Sandra Gonzalez Angela Young Charles,"robinson, sandra, gonzalez, angela, young, charles",Neutral
Lewis Eric Taylor Nancy Lee Amy,"lewis, eric, taylor, nancy, lee, amy",Neutral
Clark Melissa Brown William Lopez Frank,"clark, melissa, brown, william, lopez, frank",Neutral
Smith Scott Garcia Melissa Taylor Sharon,"smith, scott, garcia, melissa, taylor, sharon",Neutral
Smith Anthony Davis Larry Lopez Kevin,"smith, anthony, davis, larry, lopez, kevin",Neutral
Young Anthony Anderson Joseph Davis Barbara,"young, anthony, anderson, joseph, davis, barbara",Neutral
Harris Michelle Robinson Elizabeth Davis Lisa,"harris, michelle, robinson, elizabeth, davis, lisa",Neutral
Gonzalez William Perez Dorothy Moore Deborah,"gonzalez, william, perez, dorothy, moore, deborah",Neutral
Taylor Jessica Young Jason Robinson Donald,"taylor, jessica, young, jason, robinson, donald",Neutral
Lee Susan Rodriguez Elizabeth Young Patricia,"lee, susan, rodriguez, elizabeth, young, patricia",Neutral
Jones Anthony Allen Matthew Lewis George,"jones, anthony, allen, matthew, lewis, george",Neutral
Young Angela Jones Brian Rodriguez Jennifer,"young, angela, jones, brian, rodriguez, jennifer",Neutral
Gonzalez Melissa Moore Jessica Young Amy,"gonzalez, melissa, moore, jessica, young, amy",Neutral
Harris George Thomas Edward Hernandez Joseph,"harris, george, thomas, edward, hernandez, joseph",Neutral
Clark Donna Lewis Sandra Clark Frank,"clark, donna, lewis, sandra, clark, frank",Neutral
Wilson Jeffrey Lopez Brian Lee Michael,"wilson, jeffrey, lopez, brian, lee, michael",Neutral
Car no one needs,"car, one, need",Neutral
Jones Larry Allen Helen Clark Dorothy,"jones, larry, allen, helen, clark, dorothy",Neutral
Clark John Rodriguez Gary Taylor Lisa,"clark, john, rodriguez, gary, taylor, lisa",Neutral
Clark Donald Robinson Paul Allen Kimberly,"clark, donald, robinson, paul, allen, kimberly",Neutral
Thomas Brenda Jackson Jason Lee Susan,"thomas, brenda, jackson, jason, lee, susan",Neutral
🤚 I didn't come from tik tok,"didnt, come, tik, tok",Neutral
Allen Joseph Jackson Richard White Donna,"allen, joseph, jackson, richard, white, donna",Neutral
Jackson Carol Taylor Gary Thompson Timothy,"jackson, carol, taylor, gary, thompson, timothy",Neutral
Martinez Melissa Robinson Sarah Taylor Amy,"martinez, melissa, robinson, sarah, taylor, amy",Neutral
Moore George Martin Carol White Shirley,"moore, george, martin, carol, white, shirley",Neutral
Davis David Jones Jeffrey White Ronald,"davis, david, jones, jeffrey, white, ronald",Neutral
It's a piece of garbage,"piece, garbage",Neutral
Johnson Kevin Robinson Richard Lee Patricia,"johnson, kevin, robinson, richard, lee, patricia",Neutral
Lee Ronald Jackson Thomas Gonzalez Christopher,"lee, ronald, jackson, thomas, gonzalez, christopher",Neutral
White Ruth Harris Edward White Margaret,"white, ruth, harris, edward, white, margaret",Neutral
Wilson Melissa Jackson Jason Hernandez Brenda,"wilson, melissa, jackson, jason, hernandez, brenda",Neutral
6209 Hadley Center,"hadley, center",Neutral
Garcia Frank Johnson Brenda Jones Cynthia,"garcia, frank, johnson, brenda, jones, cynthia",Neutral
Martin Amy Moore Ronald Young William,"martin, amy, moore, ronald, young, william",Neutral
Hall John Johnson Sharon Williams Linda,"hall, john, johnson, sharon, williams, linda",Neutral
Ignacio Square,"ignacio, square",Neutral
Lopez Angela Moore Charles Thompson Mark,"lopez, angela, moore, charles, thompson, mark",Neutral
Taylor Shirley Wilson Brenda Harris Brenda,"taylor, shirley, wilson, brenda, harris, brenda",Neutral
Wilson Deborah Lee Anna Rodriguez Jeffrey,"wilson, deborah, lee, anna, rodriguez, jeffrey",Neutral
Bro we all know Elon musk came back with this idea from the future,"bro, know, elon, musk, came, back, idea, future",Neutral
Iconic for clout chasers😂,"iconic, clout, chasers",Neutral
My brother can’t even do a real test,"brother, even, real, test",Neutral
I saw another YT video where the trailer hitch got ripped off the back of the Cyber Truck when trying to pull an F150,"saw, another, yt, video, trailer, hitch, got, ripped, back, cyber, truck, trying, pull, f",Neutral
Johnson Helen Allen Thomas White Laura,"johnson, helen, allen, thomas, white, laura",Neutral
Taylor Jose Rodriguez James Thomas Jose,"taylor, jose, rodriguez, james, thomas, jose",Neutral
bro knew what he was doing with that ad break when he took the hammer out,"bro, knew, ad, break, took, hammer",Neutral
Davis Donna Brown Thomas Gonzalez Thomas,"davis, donna, brown, thomas, gonzalez, thomas",Neutral
"I dunno if it’s because of the way the sun reflects off the metal or if it’s CGI, but some of the vids don’t look real","dunno, way, sun, reflects, metal, cgi, vids, look, real",Neutral
Jones Eric Lee John Jackson Richard,"jones, eric, lee, john, jackson, richard",Neutral
Young Brian Anderson Barbara Lee Cynthia,"young, brian, anderson, barbara, lee, cynthia",Neutral
Oof... This is a cybertruck commercial. Not a review,"oof, cybertruck, commercial, review",Neutral
6:49 ad incoming,"ad, incoming",Neutral
Davis Nancy Lee David Martin Jeffrey,"davis, nancy, lee, david, martin, jeffrey",Neutral
ARK II,"ark, ii",Neutral
This ninja has two of them. 😮😅,"ninja, two",Neutral
White Nancy Jackson Betty Jackson Jason,"white, nancy, jackson, betty, jackson, jason",Neutral
"It’s very weird to me that Marques considers variable ratio steer by wire a good feature.

The tech equivalent would be to use mouse acceleration on a computer. Yuck.

Gordon’s T50 did it the correct way. Clutched in power steering at low speeds, not variable ratio.","weird, marque, considers, variable, ratio, steer, wire, good, feature, tech, equivalent, would, use, mouse, acceleration, computer, yuck, gordon, correct, way, clutched, power, steering, low, speed, variable, ratio",Neutral
YOUR CHILD!😅,child,Neutral
"They gave you steer by wire and four wheel steering, but you paid for drive automation it doesn’t have. Perhaps the two are related since a non variable steering column is programmed differently than the one the truck needs. But you paid for it.","gave, steer, wire, four, wheel, steering, paid, drive, automation, perhaps, two, related, since, non, variable, steering, column, programmed, differently, one, truck, need, paid",Neutral
Imagine waiting 2 years for this trash,"imagine, waiting, year, trash",Neutral
The Windows Are So Dope!!!,"window, dope",Neutral
This right here is the benchmark of PRODUCT REVIEWS just immaculate mkbhd,"right, benchmark, product, review, immaculate, mkbhd",Neutral
The Jar Jar Bonks of cars.,"jar, jar, bonks, car",Neutral
The Volkswagen bug is iconic and heavily mass produced.,"volkswagen, bug, iconic, heavily, mass, produced",Neutral
No durability tho,"durability, tho",Neutral
Not me learning that its not available in Australia :(,"learning, available, australia",Neutral
Karmann Ghia. mass produced. you'll get more looks with that thing than a Lamborghini any day of the week.,"karmann, ghia, mass, produced, youll, get, look, thing, lamborghini, day, week",Neutral
Niet! The shape!,"niet, shape",Neutral
Faster than a cc??? Huh,"faster, cc, huh",Neutral
I would pull my hoody over my head too when stepping out of a cyber truck.,"would, pull, hoody, head, stepping, cyber, truck",Neutral
"I'm so glad Europe isn't getting this disgusting thing. It's absysmal. Shoddy built, spartan interior, terrible rear view, and useless box.","im, glad, europe, isnt, getting, disgusting, thing, absysmal, shoddy, built, spartan, interior, terrible, rear, view, useless, box",Neutral
Its getting FSD with 12.5,"getting, fsd",Neutral
I would rather it in full mat black with some bigger OS rims,"would, rather, full, mat, black, bigger, o, rim",Neutral
"Your 911 Turbo is an iconic design that's evolved over what, 60 years? And how many tens of thousands of them are on the roads?","turbo, iconic, design, thats, evolved, year, many, ten, thousand, road",Neutral
Can you get it lifted?,"get, lifted",Neutral
JAJAJA look line a aluminum can with wheels..,"jajaja, look, line, aluminum, wheel",Neutral
Pavement princess,"pavement, princess",Neutral
My decade old Mustang has steer-by-wire...,"decade, old, mustang, steerbywire",Neutral
"its unsafe for pedestrians, its unsafe for other vehicles on the road, its unsafe for the driver, its unsafe for your taste..F","unsafe, pedestrian, unsafe, vehicle, road, unsafe, driver, unsafe, tastef",Neutral
I heard its a 💩.,heard,Neutral
Damn i never thought there would be uglier car coming from the usa.,"damn, never, thought, would, uglier, car, coming, usa",Neutral
Fanboy shill,"fanboy, shill",Neutral
the VW was also mass produced but still iconic.,"vw, also, mass, produced, still, iconic",Neutral
Does the fingerpring door unlock work in wet conditions,"fingerpring, door, unlock, work, wet, condition",Neutral
The shilling is wild here,"shilling, wild",Neutral
4 recalls,recall,Neutral
I littelry drove this car in roblox before i knew of it existence,"littelry, drove, car, roblox, knew, existence",Neutral
I’ll get one when I retire in a few years,"get, one, retire, year",Neutral
BMW has had variable steering for decades ...,"bmw, variable, steering, decade",Neutral
íconic@,conic,Neutral
This gotta be the most iconic intro ever !,"got, ta, iconic, intro, ever",Neutral
This dood is the real life Tolken 😂,"dood, real, life, tolken",Neutral
Probably firt ever concept car to reach production,"probably, firt, ever, concept, car, reach, production",Neutral
Isuzu Dmax >,"isuzu, dmax",Neutral
G wagon is iconic and it is mass produse,"g, wagon, iconic, mass, produse",Neutral
"if you do trafic to trafic light full power , battery down in less then 1 hour , and change tires in a few months ","trafic, trafic, light, full, power, battery, le, hour, change, tire, month",Neutral
woww,woww,Neutral
"I mean, I get what he's saying regarding the towing issue, but...what about the other 37% of people who DO want towing? That's still, like, millions of people, right?

I think he also missed another aspect that people use trucks for and that is a large bed to transport large things. Plywood, gravel, tools, furniture... I think the average truck owner probably *does* use this feature at least somewhat regularly. And the cybertruck's bed just isn't all that large.

If you actually needed that functionality and wanted an ev, the cybertruck is just nowhere near a viable option...","mean, get, he, saying, regarding, towing, issue, butwhat, people, want, towing, thats, still, like, million, people, right, think, also, missed, another, aspect, people, use, truck, large, bed, transport, large, thing, plywood, gravel, tool, furniture, think, average, truck, owner, probably, use, feature, least, somewhat, regularly, cybertrucks, bed, isnt, large, actually, needed, functionality, wanted, ev, cybertruck, nowhere, near, viable, option",Neutral
"I think it won't be the same fate as the PT cruiser, because while one is typecast as being the one bought used by normal people with not a lot of money, this will always be the marker of a tool with more money than sense.","think, wont, fate, pt, cruiser, one, typecast, one, bought, used, normal, people, lot, money, always, marker, tool, money, sense",Neutral
"C'mon... really???
It's an updated Delorean!","cmon, really, updated, delorean",Neutral
Iconic + mass production = revolution,"iconic, mass, production, revolution",Neutral
imagine getting one of these rolling fridges and not being allowed by Tesla to sell it.,"imagine, getting, one, rolling, fridge, allowed, tesla, sell",Neutral
"Steer by wire is overrated. Prove is that you hadn't yet realized that most cars you were driving for the past ten years have steer by wire.
Judging by how you rate it I assume the steering calibration and drive train od the cybertruck is underrated.","steer, wire, overrated, prove, hadnt, yet, realized, car, driving, past, ten, year, steer, wire, judging, rate, assume, steering, calibration, drive, train, od, cybertruck, underrated",Neutral
Paid advertisement rather than a review,"paid, advertisement, rather, review",Neutral
"26:30 NOOOO!!!!!!  The prowler is what's your name...

note... Where are those PT cruisers at now?
 They were pieces of junk!","noooo, prowler, whats, name, note, pt, cruiser, piece, junk",Neutral
"Bit of a Tesla fanboy, so far your only flaw. Not this video. But in general.","bit, tesla, fanboy, far, flaw, video, general",Neutral
"There are a lot of things that have been said about the review and such, but one thing is the comparison to the size of an F-150;  It's shorter, but it's about the length of a mid-sized F-150 model and is considerably wider.  What gives?","lot, thing, said, review, one, thing, comparison, size, f, shorter, length, midsized, f, model, considerably, wider, give",Neutral
CyberCrap💩,cybercrap,Neutral
Sell in,sell,Neutral
Stick to phones bruh,"stick, phone, bruh",Neutral
"24""27 Ameribros, what is a ""product person""?","ameribros, product, person",Neutral
paid shill 😂,"paid, shill",Neutral
I actually don't think it's fine that people will use these just because it looks cool. Same with all of the giant SUVs and lifted pickups on the road nowadays. This shit is not safe for my baby corolla to get hit by.,"actually, dont, think, fine, people, use, look, cool, giant, suv, lifted, pickup, road, nowadays, shit, safe, baby, corolla, get, hit",Neutral
Cyberscam,cyberscam,Neutral
Just stick to reveiwing phones,"stick, reveiwing, phone",Neutral
L,l,Neutral
dunno if I call it cybercoffin or cyberguillotine,"dunno, call, cybercoffin, cyberguillotine",Neutral
"Finally, a truck that screams...""I'm triple vaxxed!"" 😂","finally, truck, screamsim, triple, vaxxed",Neutral
Is he driving without a license plate?,"driving, without, license, plate",Neutral
subzero on wheels,"subzero, wheel",Neutral
Why don’t you make a video about how all ev’s prices are dropping specially in the used market ?,"make, video, ev, price, dropping, specially, used, market",Neutral
Iron man car,"iron, man, car",Neutral
I feel I’m watching Batman or Superman movie if I saw this car on street,"feel, watching, batman, superman, movie, saw, car, street",Neutral
RIP pedestrians.,"rip, pedestrian",Neutral
I remember seeing Tesla Infront of my school which is in Greece,"remember, seeing, tesla, infront, school, greece",Neutral
Ignoramuses never understood Van Gogh's art when they first came out! Now some of them are worth hundreds of millions of dollars and only well established museums could afford to own them!,"ignoramus, never, understood, van, gogh, art, first, came, worth, hundred, million, dollar, well, established, museum, could, afford",Neutral
Tf is that pile of metal?!😅,"tf, pile, metal",Neutral
"Tesla will no doubt get credit for ""inventing"" steer by wire, while Lexus introduced it in 2022, likewise the four wheel steering is already available for years with Cadillac, GMC, Lamborghini, Mercedes-Benz, Acura, BMW, Rolls-Royce and Porsche.","tesla, doubt, get, credit, inventing, steer, wire, lexus, introduced, likewise, four, wheel, steering, already, available, year, cadillac, gmc, lamborghini, mercedesbenz, acura, bmw, rollsroyce, porsche",Neutral
I’ve never seen more people triggered by a car’s existence 😂,"never, seen, people, triggered, car, existence",Neutral
Are they adding DLC's?,"adding, dlcs",Neutral
Wondering when they're going to start bringing these to AFRICA 😎gotta drive this round my village💣💥🤟Elon☠,"wondering, theyre, going, start, bringing, africa, got, ta, drive, round, villageelon",Neutral
I will matt wrap it as soon as this this thing is on my driveway.,"matt, wrap, soon, thing, driveway",Neutral
Next video: Is the cyber truck more durable than the 1990 Toyota Hilux?,"next, video, cyber, truck, durable, toyota, hilux",Neutral
Infamous not iconic,"infamous, iconic",Neutral
all of tesla means willing beta tester btw not just foundation,"tesla, mean, willing, beta, tester, btw, foundation",Neutral
First generation in cars in general Gas or electric are beta testers,"first, generation, car, general, gas, electric, beta, tester",Neutral
the truck is smaller than the advertisemnet :) maybe because of you,"truck, smaller, advertisemnet, maybe",Neutral
This guy is the sole reason for 2000 of the 4000 cyber trucks sold so far.,"guy, sole, reason, cyber, truck, sold, far",Neutral
"Wait a minute. You did a review of it before and it wasn't the best. According to you! Now, you're saying positive things about this truck. You've been MUSKED!! How much did he pay you? 🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡","wait, minute, review, wasnt, best, according, youre, saying, positive, thing, truck, youve, musked, much, pay",Neutral
"Already iconic?

Already recalled you mean 😂😂😂","already, iconic, already, recalled, mean",Neutral
It's as iconic as a Fiat Multipla.,"iconic, fiat, multipla",Neutral
i dont even buy this truck for free due to it's ugly design,"dont, even, buy, truck, free, due, ugly, design",Neutral
"Elon Musk is trying to tell us something. This car is suppose to be a fortress on wheels. It is not quite there yet, but it will be… perhaps just in time.","elon, musk, trying, tell, u, something, car, suppose, fortress, wheel, quite, yet, be, perhaps, time",Neutral
Isn’t it being recalled?,recalled,Neutral
It’s $100 million,million,Neutral
Gaff tape is underated,"gaff, tape, underated",Neutral
Personally I'd prefer an army surplus Abrams.,"personally, id, prefer, army, surplus, abrams",Neutral
Did you get door fixed,"get, door, fixed",Neutral
Pt cruiser and Chevy ssr,"pt, cruiser, chevy, ssr",Neutral
"INFAMOUS, not iconic.","infamous, iconic",Neutral
Already trash ?,"already, trash",Neutral
FWIW: my 2008 Toyota Prius was steer by wire,"fwiw, toyota, prius, steer, wire",Neutral
My child 😂,child,Neutral
"17:09 ""while my child uhh u mean the car""🤣🤣🤣🤣","child, uhh, u, mean, car",Neutral
Consumers are so thirsty for attention,"consumer, thirsty, attention",Neutral
I'm afraid the goofy design is going to set the precedence. Vehicle designs have been slowly going downhill since the 80s,"im, afraid, goofy, design, going, set, precedence, vehicle, design, slowly, going, downhill, since",Neutral
why is mkbhd wearing a shirt of something german frisbee related? i under the frisbee part but why the german flag?,"mkbhd, wearing, shirt, something, german, frisbee, related, frisbee, part, german, flag",Neutral
"Or maybe , sliding acceleration pedal....","maybe, sliding, acceleration, pedal",Neutral
It's trash,trash,Neutral
6:45 Was that a tesla Hammer?,"tesla, hammer",Neutral
What's the intro music song name?,"whats, intro, music, song, name",Neutral
2:04 gyat,gyat,Neutral
the intro was next level,"intro, next, level",Neutral
i think it looks dope but at the same time i think its an abomination,"think, look, dope, time, think, abomination",Neutral
SIMP SHILLING EXEMPLIFIED,"simp, shilling, exemplified",Neutral
only in america,america,Neutral
It’s a urinal,urinal,Neutral
I could totally see this truck becoming the new standard police cruiser specifically because of the innate bullet resistance.,"could, totally, see, truck, becoming, new, standard, police, cruiser, specifically, innate, bullet, resistance",Neutral
10:30  it sounds quite inside while you are talking to us.,"sound, quite, inside, talking, u",Neutral
wrapp it in any color,"wrapp, color",Neutral
All Cybertrucks have been recalled btw,"cybertrucks, recalled, btw",Neutral
"tell me you are an elon fanboy without telling me you are 
an elon fanboy","tell, elon, fanboy, without, telling, elon, fanboy",Neutral
"Can i put solar panels on it?
Can I sleep in it? 
Can It drive it self when im sleeping?","put, solar, panel, sleep, drive, self, im, sleeping",Neutral
I didn't think a vehicle would remind me of my kitchen sink..,"didnt, think, vehicle, would, remind, kitchen, sink",Neutral
Maybe people where reacting to you not the truck....,"maybe, people, reacting, truck",Neutral
Thought mah boi was about to pull out the blammer for a sec,"thought, mah, boi, pull, blammer, sec",Neutral
How the windows not bulletproof 😂😂😂😂,"window, bulletproof",Neutral
"it isn't a truck though. its a giant car.
You can move the contents of a house with a truck; show me you doing that in the cyberCar","isnt, truck, though, giant, car, move, content, house, truck, show, cybercar",Neutral
I thnk it is more unique rather than iconic.,"thnk, unique, rather, iconic",Neutral
I think Cyber 911 is what happened in Terminator,"think, cyber, happened, terminator",Neutral
"Nine One One = ☺
Nine Eleven = 💀","nine, one, one, nine, eleven",Neutral
"The PT Cruiser also retailed for around 25k brand new, I can't see a whole lot of people getting a Cybertruck being as they start at 60k, just sayin'.","pt, cruiser, also, retailed, around, k, brand, new, cant, see, whole, lot, people, getting, cybertruck, start, k, sayin",Neutral
Already a pedestrian slicer.,"already, pedestrian, slicer",Neutral
Infiniti was shipping cars with steer by wire at least a decade ago,"infiniti, shipping, car, steer, wire, least, decade, ago",Neutral
,,Neutral
Turdmobile,turdmobile,Neutral
Recall,recall,Neutral
"4:49 No, Lexus was the first.","lexus, first",Neutral
Designed by a 7 year old with a ruler and #2 pencil.,"designed, year, old, ruler, pencil",Neutral
What about the new water ingress issues with the infotainment system? Maybe an update?,"new, water, ingres, issue, infotainment, system, maybe, update",Neutral
For we in Europe will be really rare for a long time! (They don’t sell it here),"europe, really, rare, long, time, sell",Neutral
Illuminati car you could see the symbolism with the car 😮,"illuminati, car, could, see, symbolism, car",Neutral
big electric cars just dont make that much sense....the battery weighs 3 times as much as the big model 3 one but only gets around 50% range because its double total weight......,"big, electric, car, dont, make, much, sensethe, battery, weighs, time, much, big, model, one, get, around, range, double, total, weight",Neutral
Miles = The Stig....?,"mile, stig",Neutral
All the pedestrians getting sliced in half by this thing are gonna be hella iconic,"pedestrian, getting, sliced, half, thing, gon, na, hella, iconic",Neutral
The only opinion that matters is yours.,"opinion, matter",Neutral
Elon apologist,"elon, apologist",Neutral
LEGO,lego,Neutral
Dragrace*,dragrace,Neutral
"Iconic, like Trump's hair. 
Doesn't mean it's a good thing.","iconic, like, trump, hair, doesnt, mean, good, thing",Neutral
Waiting for MKBHD to make it Matte Black.,"waiting, mkbhd, make, matte, black",Neutral
"Man, this is a straing up Tesla/Elon commercial!","man, straing, teslaelon, commercial",Neutral
But can it handle car washes?,"handle, car, wash",Neutral
This tells me everything about the state of marques now. What a complete sellout.,"tell, everything, state, marque, complete, sellout",Neutral
Very wholesome for Marqes to show his child,"wholesome, marqes, show, child",Neutral
"That’s just the copium. It’ll wear off. But no, it’s not iconic, unless it becomes iconic for kluges.","copium, wear, iconic, unless, becomes, iconic, kluges",Neutral
"""I'm getting dumptruck vibes from back here""","im, getting, dumptruck, vibe, back",Neutral
How do you hook up the horse trailer?,"hook, horse, trailer",Neutral
Its still not gonna be common because most people can’t afford even a $30k new car including myself. This things $80k plus.,"still, gon, na, common, people, afford, even, k, new, car, including, thing, k, plus",Neutral
I watched a Youtubers video towing with its rated tow it only got 95 miles on a full charge.,"watched, youtubers, video, towing, rated, tow, got, mile, full, charge",Neutral
At least you still have all your fingers.,"least, still, finger",Neutral
XL DeLorean😂,"xl, delorean",Neutral
How do you have two,two,Neutral
Sharp!!,sharp,Neutral
Prefer the Porsche.,"prefer, porsche",Neutral
"I'd never buy this, and overall if someone wants to buy it I also don't care. It's actually great, because it tells me a lot about that person. So if for example I have a friend who buys one, I now know to never lend them money, because they have poor financial literacy.","id, never, buy, overall, someone, want, buy, also, dont, care, actually, great, tell, lot, person, example, friend, buy, one, know, never, lend, money, poor, financial, literacy",Neutral
That thing is 🤮,thing,Neutral
