Comment,cleaned_comment,Sentiment
"your money, your choice, remember Arnold driving his Humvee around LA that was quite a sight.  I sure hope this ain't the future.  For every solution addressed via innovation, there is a subsequent problem created.  I can't wait for the humanoid robot which I also think will be bullet proof against small caliber weapons.","money, choice, remember, arnold, driving, humvee, around, la, quite, sight, sure, hope, aint, future, every, solution, addressed, via, innovation, subsequent, problem, created, cant, wait, humanoid, robot, also, think, bullet, proof, small, caliber, weapon",Positive
Looks pretty fine tho,"look, pretty, fine, tho",Positive
"Please do not use the self-driving feature of your Tesla, thank you.","please, use, selfdriving, feature, tesla, thank",Positive
"""If someone hits you, you'll be fine... *you'll* be fine."" Yep, you might be charged with manslaughter even though they might've survived if your truck was aluminium, but *you'll* be fine.","someone, hit, youll, fine, youll, fine, yep, might, charged, manslaughter, even, though, mightve, survived, truck, aluminium, youll, fine",Positive
"YES! The STEERING BY WIRE/ REAR WHEEL STEERING is wonderful!! As much as my CYBERBEAST cost I want everything perfect but I know I am a Beta Tester. So far my biggest complaint is that I have to drive 250 miles to get service!
I’m liking it a lot more than I did the first week or so, but if I had been able to have a test drive…I wouldn’t have bought it!
It’s such a pain in the ASS to change what you are listening to. Definitely First World Problems. Poor Me!","yes, steering, wire, rear, wheel, steering, wonderful, much, cyberbeast, cost, want, everything, perfect, know, beta, tester, far, biggest, complaint, drive, mile, get, service, liking, lot, first, week, able, test, drive, i, bought, pain, as, change, listening, definitely, first, world, problem, poor",Positive
A true hallmark of failure. lol.,"true, hallmark, failure, lol",Positive
Jones Eric Lee John Jackson Richard,"jones, eric, lee, john, jackson, richard",Positive
Awesome video. Very informative,"awesome, video, informative",Positive
Young Brian Anderson Barbara Lee Cynthia,"young, brian, anderson, barbara, lee, cynthia",Positive
I like the look of it. It’s different and eye catching.,"like, look, different, eye, catching",Positive
Oof... This is a cybertruck commercial. Not a review,"oof, cybertruck, commercial, review",Positive
"Lmao, calling this a review is ridiculous.","lmao, calling, review, ridiculous",Positive
6:49 ad incoming,"ad, incoming",Positive
Wrong analogy. Same thought but this time imagine a VW beetle. You're too young to remember when they first hit the street. Same reactions as the cybertruck. Millions of them  on the road and that same feeling lingers....Very rare to obtain true icon status. Jury is still out on the Cybertruck.,"wrong, analogy, thought, time, imagine, vw, beetle, youre, young, remember, first, hit, street, reaction, cybertruck, million, road, feeling, lingersvery, rare, obtain, true, icon, status, jury, still, cybertruck",Positive
Davis Nancy Lee David Martin Jeffrey,"davis, nancy, lee, david, martin, jeffrey",Positive
ARK II,"ark, ii",Positive
This ninja has two of them. 😮😅,"ninja, two",Positive
Nice vid but i think he should've used the cyberbeast instead of tue all wheel drive,"nice, vid, think, shouldve, used, cyberbeast, instead, tue, wheel, drive",Positive
"Being iconic doesn't mean it's not crap. The Reliant Robin is incredibly famous and iconic because of its flaws, for example.","iconic, doesnt, mean, crap, reliant, robin, incredibly, famous, iconic, flaw, example",Positive
White Nancy Jackson Betty Jackson Jason,"white, nancy, jackson, betty, jackson, jason",Positive
"It’s very weird to me that Marques considers variable ratio steer by wire a good feature.

The tech equivalent would be to use mouse acceleration on a computer. Yuck.

Gordon’s T50 did it the correct way. Clutched in power steering at low speeds, not variable ratio.","weird, marque, considers, variable, ratio, steer, wire, good, feature, tech, equivalent, would, use, mouse, acceleration, computer, yuck, gordon, correct, way, clutched, power, steering, low, speed, variable, ratio",Positive
This is a good tesla right,"good, tesla, right",Positive
YOUR CHILD!😅,child,Positive
"The F150 is a conservative fashion statement.  You know, like ""I have small hands so I buy the biggest truck I can find to make up for my inadequacies, wasting 400 gallons of fuel annually!","f, conservative, fashion, statement, know, like, small, hand, buy, biggest, truck, find, make, inadequacy, wasting, gallon, fuel, annually",Positive
33.5' turning radius is excellent.  Anything less than 35' can generally turn around on any street without backing and filling ...,"turning, radius, excellent, anything, le, generally, turn, around, street, without, backing, filling",Positive
"They gave you steer by wire and four wheel steering, but you paid for drive automation it doesn’t have. Perhaps the two are related since a non variable steering column is programmed differently than the one the truck needs. But you paid for it.","gave, steer, wire, four, wheel, steering, paid, drive, automation, perhaps, two, related, since, non, variable, steering, column, programmed, differently, one, truck, need, paid",Positive
Iconic?  Yes.  Good?  No.,"iconic, yes, good",Positive
Imagine waiting 2 years for this trash,"imagine, waiting, year, trash",Positive
The Windows Are So Dope!!!,"window, dope",Positive
Black man made the design way b4 this truck ever hit the market! We are looking @ a truck that already tried to get created but just now got the technology to bring it to life,"black, man, made, design, way, b, truck, ever, hit, market, looking, truck, already, tried, get, created, got, technology, bring, life",Positive
Bro… Maybe I should do my research but how do you get all of this technology… I gotta get my game up though & for sure will invest soon!,"bro, maybe, research, get, technology, got, ta, get, game, though, sure, invest, soon",Positive
Might take a couple years for people to not behave like that frfr,"might, take, couple, year, people, behave, like, frfr",Positive
"That is very smart thinking and I totally agree with that. Kinda sad that the brain must go burrr, get more ego horsepower. The Cybertruck,  Is the most American made truck on the planet and also the fastest truck.","smart, thinking, totally, agree, kinda, sad, brain, must, go, burrr, get, ego, horsepower, cybertruck, american, made, truck, planet, also, fastest, truck",Positive
"Being iconic is, A normal every day person recognizing you car instantly 50 year later. This will be the one of a few that will truly be “iconic”","iconic, normal, every, day, person, recognizing, car, instantly, year, later, one, truly, iconic",Positive
This right here is the benchmark of PRODUCT REVIEWS just immaculate mkbhd,"right, benchmark, product, review, immaculate, mkbhd",Positive
"It looks like that robot from the movie,  THE DAY THE EARTH STOOD STILL. Thus makes it totally awesome.","look, like, robot, movie, day, earth, stood, still, thus, make, totally, awesome",Positive
"Haha I'll be laughing at people who want to get this truck because they want to be ""environmentally friendly."" Trust me, there is nothing environmentally friendly about a big vehicle. Get a small gas-powered sedan instead if you want to help the environment.","haha, ill, laughing, people, want, get, truck, want, environmentally, friendly, trust, nothing, environmentally, friendly, big, vehicle, get, small, gaspowered, sedan, instead, want, help, environment",Positive
The Jar Jar Bonks of cars.,"jar, jar, bonks, car",Positive
I personally think Rich Rebuilds has the best take on this truck,"personally, think, rich, rebuilds, best, take, truck",Positive
"Just keep one thing in mind, the cybertruck and like everything else in the world is not for everyone, I personally like it but wouldn't get one till at a later date when some of the issues do get fixed, looks and appearance do not matter to me just like with people I simply do not care what you look like, if it drives and it is suitable for me then I like it, simple as that. (This comment is aimed towards the viewers)","keep, one, thing, mind, cybertruck, like, everything, else, world, everyone, personally, like, wouldnt, get, one, till, later, date, issue, get, fixed, look, appearance, matter, like, people, simply, care, look, like, drive, suitable, like, simple, comment, aimed, towards, viewer",Positive
People wondering if steer by wire is safe just keep in mind that airplanes are steering by wire 😅,"people, wondering, steer, wire, safe, keep, mind, airplane, steering, wire",Positive
Is robocop iconic? Because it looks like something out of robocop,"robocop, iconic, look, like, something, robocop",Positive
The Volkswagen bug is iconic and heavily mass produced.,"volkswagen, bug, iconic, heavily, mass, produced",Positive
No durability tho,"durability, tho",Positive
its a low poly asset,"low, poly, asset",Positive
"Looks like something a sci-fi villain would drive, trying to run over the cute 80s hero driving a motorbike","look, like, something, scifi, villain, would, drive, trying, run, cute, hero, driving, motorbike",Positive
"7:30 I just don’t understand why you’d want a super duper sturdy exterior. If someone hits you, you’ll be fine, but if you run into a tree at high speed you’ll die. To go from idk 90 km/h to 0, something has to absorb the energy, and if it’s not the car, it’s your squishy self.","understand, want, super, duper, sturdy, exterior, someone, hit, fine, run, tree, high, speed, die, go, idk, kmh, something, absorb, energy, car, squishy, self",Positive
Not me learning that its not available in Australia :(,"learning, available, australia",Positive
"Seeing the background made me notice it went through my hometown, while I was outside talking with locals. I saw a cyber truck pass by. Might have been this one lol","seeing, background, made, notice, went, hometown, outside, talking, local, saw, cyber, truck, pas, might, one, lol",Positive
Honestly the more I see them on the road the less impressive I get .. just not my taste for the grey/silver but that all black one 😏,"honestly, see, road, le, impressive, get, taste, greysilver, black, one",Positive
I honestly don’t mind the look I think it’s kinda cool but I dislike everything else about the truck,"honestly, mind, look, think, kinda, cool, dislike, everything, else, truck",Positive
Karmann Ghia. mass produced. you'll get more looks with that thing than a Lamborghini any day of the week.,"karmann, ghia, mass, produced, youll, get, look, thing, lamborghini, day, week",Positive
"12:51 definitely saying this for taxation purposes lmao, ily marques","definitely, saying, taxation, purpose, lmao, ily, marque",Positive
"the problem is thta the cybertruct is just a fun truck, is not about thing that an actual truck can do.  makes no sense. why would someone be racing on a cybetruck?","problem, thta, cybertruct, fun, truck, thing, actual, truck, make, sense, would, someone, racing, cybetruck",Positive
"Alright, now take it to a car wash","alright, take, car, wash",Positive
YOUR VISEOS ARE TOP NOTCH!  THANKS SO MUCH!,"viseos, top, notch, thanks, much",Positive
WhistlinDiesel tested it where its rear bumper just shears off from a tow... lmao paper thin bodyframe no one should buy this,"whistlindiesel, tested, rear, bumper, shear, tow, lmao, paper, thin, bodyframe, one, buy",Positive
Tbf I think the exterior design is the best bit. It just look so cool ( in my opinion),"tbf, think, exterior, design, best, bit, look, cool, opinion",Positive
Niet! The shape!,"niet, shape",Positive
